"id","name","address","city","state","zip","latitude","longitude"
1,"WALGREENS","3696 SW TOPEKA BLVD","TOPEKA","KS",66611,39.00142300,-95.68695000
2,"KMART PHARMACY   ","1740 SW WANAMAKER ROAD","TOPEKA","KS",66604,39.03504000,-95.75870000
3,"CONTINENTAL PHARMACY LLC","821 SW 6TH AVE","TOPEKA","KS",66603,39.05433000,-95.68453000
4,"STORMONT-VAIL RETAIL PHARMACY","2252 SW 10TH AVE.","TOPEKA","KS",66604,39.05167000,-95.70534000
5,"DILLON PHARMACY","2010 SE 29TH ST","TOPEKA","KS",66605,39.01638400,-95.65065000
6,"WAL-MART PHARMACY       ","1501 S.W. WANAMAKER ROAD","TOPEKA","KS",66604,39.03955000,-95.76459000
7,"KING PHARMACY","4033 SW 10TH AVE","TOPEKA","KS",66604,39.05121000,-95.72700000
8,"HY-VEE PHARMACY      ","12122 STATE LINE RD","LEAWOOD","KS",66209,38.90775300,-94.60801000
9,"JAYHAWK PHARMACY AND PATIENT SUPPLY","2860 SW MISSION WOODS DR","TOPEKA","KS",66614,39.01505300,-95.77866000
10,"PRICE CHOPPER PHARMACY","3700 W 95TH ST","LEAWOOD","KS",66206,38.95792000,-94.62881500
11,"AUBURN PHARMACY","13351 MISSION RD","LEAWOOD","KS",66209,38.88534500,-94.62800000
12,"CVS PHARMACY","5001 WEST 135 ST","LEAWOOD","KS",66224,38.88323000,-94.64518000
13,"SAMS PHARMACY       ","1401 SW WANAMAKER ROAD","TOPEKA","KS",66604,39.04160300,-95.76462600
14,"CVS PHARMACY","2835 SW WANAMAKER RD","TOPEKA","KS",66614,39.01550300,-95.76434000
15,"HY-VEE PHARMACY      ","2951 SW WANAMAKER RD","TOPEKA","KS",66614,39.01215700,-95.76394000
16,"TALLGRASS PHARMACY","601 SW CORPORATE VIEW","TOPEKA","KS",66615,39.05716000,-95.76692000
17,"HUNTERS RIDGE PHARMACY","3405 NW HUNTERS RIDGE TER STE 200","TOPEKA","KS",66618,39.12984500,-95.71265400
18,"ASSURED PHARMACY  ","11100 ASH ST STE 200","LEAWOOD","KS",66211,38.92663200,-94.64744000
19,"WALGREENS","4701 TOWN CENTER DR","LEAWOOD","KS",66211,38.91619000,-94.64036600
20,"PRICE CHOPPER PHARMACY","1100 SOUTH 7 HWY","BLUE SPRINGS","MO",64015,39.02931000,-94.27175000
21,"CVS PHARMACY","1901 WEST KANSAS STREET","LIBERTY","MO",64068,39.24385000,-94.44961000
22,"MARRS PHARMACY","205 RD MIZE ROAD","BLUE SPRINGS","MO",64014,39.02353000,-94.26060500
23,"WAL-MART PHARMACY       ","600 NE CORONADO DRIVE","BLUE SPRINGS","MO",64014,39.02419300,-94.25503000
24,"WAL-MART PHARMACY       ","10300 E HWY 350","RAYTOWN","MO",64133,38.98376500,-94.45930500
25,"HY-VEE PHARMACY      ","9400 E. 350 HIGHWAY","RAYTOWN","MO",64133,38.99300000,-94.47083000
26,"HY-VEE PHARMACY      ","625 W 40 HWY","BLUE SPRINGS","MO",64014,39.01070400,-94.27108000
27,"HY-VEE PHARMACY      ","109 NORTH BLUE JAY DRIVE","LIBERTY","MO",64068,39.24575800,-94.44702000
28,"WALGREENS     ","1701 NW HIGHWAY 7","BLUE SPRINGS","MO",64015,39.03754800,-94.27153000
29,"WALGREENS     ","9300 E GREGORY BLVD","RAYTOWN","MO",64133,38.99534200,-94.47340000
30,"WALGREENS     ","1191 W KANSAS AVE","LIBERTY","MO",64068,39.24387000,-94.44186400

CREATE TABLE pharmas (id INT NOT NULL AUTO_INCREMENT,name VARCHAR(255) NOT NULL,address VARCHAR(255) NOT NULL,city VARCHAR(255) NOT NULL,state VARCHAR(255) NOT NULL,zip INT NOT NULL,latitude DECIMAL(11,8),longitude DECIMAL(11,8),PRIMARY KEY (id));